시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,복대동,43113-2020-00033,공인중개사,유정숙,정(正)공인중개사사무소,충청북도 청주시 흥덕구 대신로73번길 8 금호어울림1단지 상가동 114호(복대동)
충청북도 청주시흥덕구,복대동,43113-2020-00034,공인중개사,이정아,에이스공인중개사사무소,"충청북도 청주시 흥덕구 증안로 29 상가동 103호(복대동,두진하트리움아파트)"
충청북도 청주시흥덕구,강서동,43113-2020-00035,공인중개사,이동인,한결공인중개사사무소,충청북도 청주시 흥덕구 가로수로1144번길 42-2 1층(강서동)
충청북도 청주시흥덕구,복대동,43113-2020-00038,공인중개사,박상현,복드림공인중개사사무소,"충청북도 청주시 흥덕구 가로수로1361번길 14 ,102호(복대동)"
충청북도 청주시흥덕구,가경동,43113-2020-00042,공인중개사,홍미나,플러스자이공인중개사사무소,"충청북도 청주시 흥덕구 서현로 32 111호(가경동, 가경자이프라자)"
충청북도 청주시흥덕구,복대동,43113-2020-00043,공인중개사,정재승,청주1등공인중개사사무소,충청북도 청주시 흥덕구 죽천로124번길 42 101호(복대동)
충청북도 청주시흥덕구,운천동,43113-2020-00048,공인중개사,방상연,올공인중개사사무소,충청북도 청주시 흥덕구 사운로 292 102호(운천동)
충청북도 청주시흥덕구,봉명동,43113-2020-00054,공인중개사,김시화,호재컨설팅공인중개사사무소,충청북도 청주시 흥덕구 1순환로 588 지하1층(봉명동)
충청북도 청주시흥덕구,복대동,43113-2020-00055,공인중개사,이혜경,지웰1등공인중개사사무소,"충청북도 청주시 흥덕구 대농로 39 B동 107-2호(복대동,LK트리플렉스)"
충청북도 청주시흥덕구,비하동,43113-2020-00056,공인중개사,김춘임,비하삼일공인중개사사무소,충청북도 청주시 흥덕구 2순환로1136번길 19 108호
충청북도 청주시흥덕구,가경동,43113-2020-00058,공인중개사,김선자,노블공인중개사사무소,충청북도 청주시 흥덕구 서현로 60 105호 (가경동)
충청북도 청주시흥덕구,복대동,43113-2020-00059,공인중개사,문정향,지웰1등공인중개사합동사무소,"충청북도 청주시 흥덕구 대농로 39 B동 107-2호(복대동,LK트리플렉스)"
충청북도 청주시흥덕구,봉명동,43113-2020-00060,공인중개사,최윤정,진공인중개사사무소,충청북도 청주시 흥덕구 예체로179번길 1 1층(봉명동)
충청북도 청주시흥덕구,송절동,43113-2020-00066,공인중개사,조영옥,우미린1등공인중개사사무소,"충청북도 청주시 흥덕구 송화로214번길 29 상가동 107호(송절동,테크노폴리스우미린)"
충청북도 청주시흥덕구,송절동,43113-2020-00070,공인중개사,김선화,더행복한공인중개사사무소,충청북도 청주시 흥덕구 송화로130번길 16 102호(송절동)
충청북도 청주시흥덕구,복대동,43113-2020-00072,공인중개사,이승택,로얄공인중개사사무소,충청북도 청주시 흥덕구 진재로31번길 3 101호
충청북도 청주시흥덕구,가경동,43113-2020-00074,공인중개사,허승화,가경자이공인중개사사무소,"충청북도 청주시 흥덕구 서현로 32 107호(가경동, 가경자이프라자)"
충청북도 청주시흥덕구,오송읍,43113-2020-00079,공인중개사,이은영,원탑공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명14로 215 상가동 115호(오송역 동아라이크텐)
충청북도 청주시흥덕구,강내면,43113-2020-00089,공인중개사,안선우,달인공인중개사사무소,충청북도 청주시 흥덕구 강내면 월곡길 23-13 상가동 104호(강내두진하트리움)
충청북도 청주시흥덕구,강내면,43113-2020-00096,공인중개사,김응길,길상공인중개사사무소,충청북도 청주시 흥덕구 강내면 가로수로 556 
